-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.005
-183.800, 80.200, 0.000,  0.265
-183.800, 80.200, -0.010,  0.295
-183.800, 80.199, 0.007,  0.355
-183.799, 80.196, 0.067,  0.629
-183.790, 80.175, 0.321,  0.660
-183.784, 80.161, 0.442,  0.719
-183.768, 80.127, 0.629,  1.002
-183.731, 80.027, 1.239,  1.033
-183.717, 79.983, 1.445,  1.093
-183.696, 79.884, 1.752,  1.360
-183.670, 79.697, 1.942,  1.392
-183.662, 79.635, 1.953,  1.453
-183.648, 79.519, 1.939,  1.733
-183.626, 79.332, 1.898,  2.111
-183.604, 79.147, 1.872,  2.143
-183.597, 79.088, 1.871,  2.205
-183.584, 78.974, 1.887,  2.445
-183.563, 78.787, 1.882,  2.476
-183.557, 78.729, 1.882,  2.540
-183.544, 78.609, 1.889,  2.765
-183.524, 78.422, 1.880,  2.797
-183.518, 78.363, 1.879,  2.860
-183.505, 78.246, 1.886,  3.107
-183.486, 78.059, 1.873,  3.139
-183.479, 78.000, 1.874,  3.201
-183.468, 77.884, 1.889,  3.462
-183.449, 77.696, 1.884,  3.493
-183.443, 77.637, 1.887,  3.557
-183.432, 77.517, 1.899,  3.826
-183.413, 77.328, 1.896,  3.858
-183.407, 77.269, 1.900,  3.922
-183.395, 77.147, 1.914,  4.199
-183.376, 76.957, 1.914,  4.231
-183.371, 76.896, 1.918,  4.293
-183.360, 76.777, 1.936,  4.552
-183.342, 76.584, 1.936,  4.584
-183.336, 76.523, 1.940,  4.646
-183.325, 76.402, 1.957,  4.902
-183.307, 76.207, 1.959,  4.933
-183.301, 76.146, 1.964,  4.995
-183.290, 76.024, 1.983,  5.252
-183.271, 75.827, 1.986,  5.283
-183.266, 75.765, 1.992,  5.346
-183.255, 75.640, 2.009,  5.605
-183.237, 75.439, 2.015,  5.636
-183.231, 75.376, 2.022,  5.700
-183.220, 75.246, 2.038,  5.981
-183.202, 75.042, 2.049,  6.013
-183.196, 74.977, 2.055,  6.075
-183.185, 74.848, 2.075,  6.325
-183.168, 74.641, 2.085,  6.357
-183.162, 74.573, 2.091,  6.419
-183.152, 74.443, 2.111,  6.705
-183.134, 74.232, 2.122,  6.737
-183.128, 74.164, 2.128,  6.799
-183.117, 74.032, 2.148,  7.084
-183.099, 73.817, 2.161,  7.116
-183.093, 73.749, 2.167,  7.178
-183.082, 73.613, 2.185,  7.464
-183.065, 73.394, 2.198,  7.496
-183.059, 73.325, 2.205,  7.559
-183.048, 73.184, 2.224,  7.840
-183.030, 72.962, 2.240,  7.872
-183.025, 72.889, 2.246,  7.934
-183.014, 72.749, 2.265,  8.221
-182.997, 72.522, 2.283,  8.253
-182.991, 72.449, 2.290,  8.316
-182.980, 72.304, 2.306,  8.602
-182.963, 72.073, 2.325,  8.635
-182.957, 71.995, 2.331,  8.697
-182.946, 71.851, 2.350,  8.986
-182.929, 71.615, 2.372,  9.018
-182.923, 71.539, 2.378,  9.080
-182.913, 71.393, 2.394,  9.356
-182.895, 71.152, 2.417,  9.389
-182.889, 71.072, 2.425,  9.450
-182.879, 70.924, 2.440,  9.715
-182.862, 70.680, 2.463,  9.748
-182.856, 70.598, 2.470, 10.148
-182.839, 70.350, 2.495, 10.180
-182.833, 70.270, 2.503, 10.243
-182.823, 70.112, 2.519, 10.502
-182.805, 69.859, 2.545, 10.536
-182.799, 69.774, 2.553, 10.598
-182.789, 69.615, 2.569, 10.855
-182.772, 69.357, 2.595, 10.889
-182.766, 69.269, 2.603, 10.951
-182.755, 69.107, 2.619, 11.208
-182.738, 68.844, 2.645, 11.242
-182.733, 68.755, 2.654, 11.304
-182.722, 68.590, 2.671, 11.556
-182.705, 68.322, 2.698, 11.588
-182.700, 68.236, 2.706, 11.650
-182.689, 68.069, 2.723, 11.888
-182.672, 67.795, 2.750, 11.920
-182.667, 67.706, 2.759, 11.982
-182.657, 67.534, 2.776, 12.216
-182.640, 67.255, 2.804, 12.249
-182.635, 67.163, 2.813, 12.310
-182.624, 66.991, 2.830, 12.550
-182.607, 66.707, 2.858, 12.583
-182.602, 66.613, 2.868, 12.645
-182.591, 66.436, 2.885, 12.892
-182.574, 66.146, 2.914, 12.923
-182.569, 66.056, 2.923, 12.985
-182.558, 65.873, 2.941, 13.236
-182.540, 65.577, 2.971, 13.267
-182.535, 65.484, 2.980, 13.329
-182.524, 65.299, 2.998, 13.572
-182.507, 64.998, 3.028, 13.605
-182.501, 64.898, 3.038, 13.667
-182.491, 64.710, 3.057, 13.900
-182.474, 64.403, 3.087, 13.931
-182.469, 64.307, 3.097, 13.993
-182.459, 64.115, 3.116, 14.237
-182.442, 63.802, 3.148, 14.269
-182.436, 63.702, 3.158, 14.331
-182.426, 63.506, 3.177, 14.593
-182.410, 63.187, 3.208, 14.625
-182.404, 63.085, 3.219, 14.689
-182.394, 62.879, 3.240, 14.961
-182.377, 62.553, 3.272, 14.993
-182.372, 62.450, 3.283, 15.056
-182.362, 62.242, 3.304, 15.337
-182.346, 61.910, 3.338, 15.369
-182.341, 61.802, 3.348, 15.430
-182.331, 61.598, 3.369, 15.702
-182.315, 61.260, 3.402, 15.733
-182.310, 61.154, 3.413, 15.795
-182.300, 60.943, 3.434, 16.075
-182.284, 60.597, 3.469, 16.108
-182.279, 60.483, 3.480, 16.168
-182.270, 60.273, 3.501, 16.437
-182.254, 59.921, 3.537, 16.468
